"symbol","symbol","probeset","correlation","sd"
"TGFB2","TGFB2","209909_s_at","0.0906857142857143","3.23207220734679"
"FAP","FAP","209955_s_at","0.0883503759398496","3.14961044272426"
"NOS2A","NOS2A","210037_s_at","0.260500751879699","9.22831154638608"
"PGM3","PGM3","210041_s_at","0.0988766917293233","3.5212990147511"
"IGFBP3","IGFBP3","210095_s_at","0.0873398496240602","3.11392833980969"
"KCNK2","KCNK2","210261_at","0.0867511278195488","3.09314032895990"
"WTAP","WTAP","210285_x_at","0.0905398496240602","3.22692166570585"
"SLC4A7","SLC4A7","210286_s_at","0.0850676691729323","3.03369670661932"
"TNFRSF10B","TNFRSF10B","210405_x_at","0.0924263157894737","3.2935335676498"
"FN1","FN1","210495_x_at","0.0935473684210526","3.33311840057066"
"INHBA","INHBA","210511_s_at","0.169557142857143","6.01705502999276"
"SYNJ2","SYNJ2","210612_s_at","0.098703007518797","3.51516615331266"
"RNF24","RNF24","210706_s_at","0.0950804511278195","3.38725218616799"
"POSTN","POSTN","210809_s_at","0.0861834586466165","3.07309569525416"
"NRP2","NRP2","210841_s_at","0.105583458646617","3.75811773349965"
"PLAUR","PLAUR","210845_s_at","0.0881255639097744","3.14167223679312"
"CD44","CD44","210916_s_at","0.121883458646617","4.33367748728321"
"MAST4","MAST4","210958_s_at","0.130308270676692","4.63116109082326"
"PDE10A","PDE10A","211170_s_at","0.150581203007519","5.34700673136324"
"PDE4B","PDE4B","211302_s_at","0.088954887218045","3.17095598643209"
"WISP1","WISP1","211312_s_at","0.0913781954887218","3.25652400554941"
"IL8","IL8","211506_s_at","0.0865255639097745","3.08517557384504"
"FGFR1","FGFR1","211535_s_at","0.0896075187969925","3.19400067789775"
"PDLIM4","PDLIM4","211564_s_at","0.162375939849624","5.7634837763193"
"FN1","FN1","211719_x_at","0.0914","3.25729393187718"
"NRP2","NRP2","211844_s_at","0.128442105263158","4.56526601683964"
"CD44","CD44","212014_x_at","0.113066165413534","4.02233520984329"
"COL6A1","COL6A1","212091_s_at","0.103318796992481","3.67815159214642"
"SLC39A14","SLC39A14","212110_at","0.143701503759399","5.10408170035999"
"IGFBP3","IGFBP3","212143_s_at","0.08973007518797","3.1983281948435"
"ATP13A3","ATP13A3","212297_at","0.0863593984962406","3.07930820424376"
"NOTCH2","NOTCH2","212377_s_at","0.0884082706766917","3.15165472987041"
"FN1","FN1","212464_s_at","0.0953796992481203","3.39781876128704"
"SPAG9","SPAG9","212470_at","0.122639097744361","4.36035941691798"
"COL5A1","COL5A1","212488_at","0.102286466165413","3.64169956290406"
"COL5A1","COL5A1","212489_at","0.108966917293233","3.87758906022254"
"SYNJ2","SYNJ2","212828_at","0.0924563909774436","3.29459553499845"
"COL14A1","COL14A1","212865_s_at","0.162940601503759","5.78342221329016"
"SEC24A","SEC24A","212902_at","0.103764661654135","3.69389525809013"
"C6orf145","C6orf145","212923_s_at","0.0862654135338345","3.07598955627923"
"COL6A1","COL6A1","212937_s_at","0.104403759398496","3.7164620642489"
"COL6A1","COL6A1","212938_at","0.0940330827067669","3.35026917325132"
"DENND3","DENND3","212974_at","0.107982706766917","3.84283617873803"
"DENND3","DENND3","212975_at","0.089624060150376","3.19458475993951"
"CEBPD","CEBPD","213006_at","0.0973751879699248","3.46828029486985"
"UHRF1BP1L","UHRF1BP1L","213118_at","0.122313533834587","4.34886362036888"
"UHRF1BP1L","UHRF1BP1L","213120_at","0.106415789473684","3.78750767987346"
"BTG3","BTG3","213134_x_at","0.0903142857142858","3.21895691059099"
"SNAI2","SNAI2","213139_at","0.127114285714286","4.51838015839683"
"SLC5A3","SLC5A3","213164_at","0.0905984962406015","3.22899250203571"
